!bt|BitTorrent Incomplete Download 
!qb|qBittorrent Partial Download 
!ut|uTorrent Incomplete Download 
#24|Printer data for 24 pin matrix printer (LocoScript)
#ib|Printer data (LocoScript)
#sc|Printer data (LocoScript)
#st|Standard mode printer definitions (LocoScript)
$#!|Cryptext
bro|Tree Professional Broadleaf Creator 
brp|Tree Professional Broadleaf Creator image
brt|Micrografx Picture Publisher 
brx|Multimedia browsing index
bsa|Compressed archive created by BSARC
bsb|MapInfo Sea Chart 
bsc|Compressed Apple II archive created by BINSCII 
bsdl|Boundary Scan Description Language
bsl|BSPlayer Configuration 
bsp|Half-life/TFC/CS Map 
bst|BibTeX Style 
bsv|Bluespec System Verilog 
bt!|BitTorrent Partial Download 
btm|Batch To Memory batch (4DOS)
btn|Buttonware 
bto|Baytex Organix! 2001 Language Kit
btr|Btrieve Database 
btx|DB/TextWorks Database Term & Indexes
bud|Quicken Backup
bug|Bugs and Problems
bun|Bundled Audio files
bup|DVD Backup 
but|Button definitions (Buttons!)
buy|Datafile format (movie)
bv1|Overflow below insert point in Doc 1 (WordPerfect for Win)
bv2|Overflow below insert point in Doc 2 (WordPerfect for Win)
bv3|Overflow below insert point in Doc 3 (WordPerfect for Win)
bv4|Overflow below insert point in Doc 4 (WordPerfect for Win)
bv5|Overflow below insert point in Doc 5 (WordPerfect for Win)
bv6|Overflow below insert point in Doc 6 (WordPerfect for Win)
bv7|Overflow below insert point in Doc 7 (WordPerfect for Win)
bv8|Overflow below insert point in Doc 8 (WordPerfect for Win)
bv9|Overflow below insert point in Doc 9 (WordPerfect for Win)
bwa|BlindWrite Disk Image Information 
bwb|Spreadsheet application (Visual Baler)
bwi|Blindread/Blindwrite
bwr|Beware (buglist) (Kermit)
bws|Blindwrite Sub Channel Data File
bwt|Blindread/Blindwrite
bxx|blaxxun Contact
bz2|Bzip 2 UNIX Compressed 
c|C source code 
c++|C++ source code 
c--|Source code (Sphinx C--)
c00|Print (Ventura Publisher) 
c01|Genesis 2000
c2d|WinOnCD CD Image
c4d|MAXON Cinema 4D File (Graphics)
c60|Midtronics Battery Management Software
c86|C source code (Computer Innovation C86)
ca|Initial cache data for root domain servers (Telnet)
cab|Cabinet File (Microsoft installation archive)
cache|Cache (typically Web cache)
cad|Softdesk Drafix CAD File
cac|dBASE IV executable when caching on/off (see cachedb.bat)
cad|Document (Drafix Windows CAD)
cag|MS Clip Gallery Catalog 
cal|Calendar (Windows 3.x) 
calb|Coolect Album (Coolect Album Player) 
cam|Casio Camera Graphic
can|Fax (Navigator Fax)
cap|Caption (Ventura Publisher) 
car|AtHome Assistant 
cas|Comma-delimited ASCII File
cat|Catalog (dBASE IV)
cb|Clean Boot File (Microsoft) 
cbc|Fuzzy logic system (CubiCalc)
cbf|Calendar Builder 
cbl|Cobol source code 
cbm|Compiled bitmap graphics (XLib)
cbp|CentralBuilder Project
cbr|ComicBook Reader File archive (CDisplay image viewer)
cbt|Computer Based Training (many)
cbz|ComicBook Reader File archive (CDisplay image viewer)
cc|C++ source code 
cca|CC:Mail archive 
ccb|Visual Basic Animated Button Configuration
ccc|Bitmap graphics (native format) (Curtain Call)
ccd|CloneCD Related 
cce|Calendar Creator 2 Event 
ccf|Communications configuration (Symphony)
cch|Chart (CorelChart)
ccl|Communication Command Language (Intalk)
cco|Btx Graphics (XBTX)
cct|Macromedia Director Shockwave 
ccx|Corel PrintHouse 
cda|CD Audio Track
cdb|Card database (CardScan) 
cdd|ConceptDraw Document 
cde|Honeywell Hybrid Control Designer
cdf|Component Definition 
cdg|Compact Disc Plus Graphics 
cdi|Phillips Compact Disk Interactive format 
cdk|Document (Atari Calamus)
cdl|CaseWare Working Papers Document Link 
cdm|Media Maker Disk Image 
cdp|Visual Objects Developer 
cdr|Vector graphics (CorelDRAW native format)
cdt|Data (CorelDraw 4.0)
cdx|CorelDraw Compressed Image 
ce|Main.ce (The FarSide Computer Calendar)
ceb|Apabi eBook 
ceg|Bitmap graphics (Tempra Show - Edsun Continuous Edge Graphics)
cel|Graphics (Autodesk Animator - Lumena)
cf|Sendmail Configuration 
cfb|Comptons multimedia 
cfc|Macromedia Coldfusion component extension
cfg|Configuration
cfl|Chart (CorelFLOW)
cfm|ColdFusion Markup Language (Allaire)
cfn|Font data (Atari Calamus)
cfo|C Form Object internal format object (TCU Turbo C Utilities)
cfp|Quicken Cash Flow Projection 
cfr|Crossfire Replay 
cga|CGA display font (Ventura Publisher)
cgd|Cricket Graph Data 
cge|CCD Astrocamera
cgi|Common Gateway Interface script
cgm|Computer Graphics Metafile vector graphics (A&L - HG - many)
ch|Header (Clipper 5)
ch3|Chart (Harvard Graphics 3.0)
ch4|Presentation (Charisma 4.0)
chd|Font descriptor (FontChameleon)
chi|Document (ChiWriter)
chk|Recovered data (ChkDsk)
chl|Configuration History Log
chm|Compiled HTML
chn|Data (Ethnograph 3)
cho|ChordPro 
chp|Chapter (Ventura Publisher)
chr|Character set (Turbo C - Turbo Pascal)
cht|Chart (Harvard Graphics 2.0 - SoftCraft Presenter)
chw|Compiled Help Index 
cid|AnalogX Caller ID 
cif|Caltech Intermediate Format graphics
ciff|Canon CIFF
cil|Clip Gallery Download Package
cit|Intergraph Raster File Reference
cix|Database index (TCU Turbo C Utilities)
ckb|Keyboard mapping (Borland C++ 4.5)
cl|Common LISP source code 
cl3|Easy CD Creator Layout 
cl4|Easy CD Creator Layout 
cl5|Easy CD Creator Layout 
class|Java class 
clb|ICQ Contact List
clg|Windows Catalog 
cli|Client Management System Customer 
