!bt|BitTorrent Incomplete Download 
!qb|qBittorrent Partial Download 
!ut|uTorrent Incomplete Download 
#24|Printer data for 24 pin matrix printer (LocoScript)
#ib|Printer data (LocoScript)
#sc|Printer data (LocoScript)
#st|Standard mode printer definitions (LocoScript)
$#!|Cryptext
mpa|MPEG Audio Stream Layer I II or III
mpc|Calender (MS Project)
mpd|MS Project database 
mpe|MPEG Movie Clip
mpeg|MPEG Movie Clip
mpf|MS Design Gallery 
mpg|MPEG Video
mpl|Playlist Data 
mpls|Blu-ray Information 
mpm|Mathplan macro (WordPerfect Library)
mpp|Project (MS Project) 
mpq|Blizzard Game Data 
mpr|Generated program (FoxPro)
mps|Multimedia File 
mpt|Bitmap graphics (Multipage TIFF) 
mpv|View (MS Project)
mpw|MosASCII Project Workspace 
mpx|Compiled menu program (FoxPro)
mrb|Multiple Resolution Bitmap graphics (MS C/C++)
mrc|MIRC Script 
mrk|Informative Graphics markup 
mrs|Macro Resource (WordPerfect for Win)
msc|MS C makefile
msd|MS Diagnostic Utility Report
msf|Multiple Sequence 
msg|Message
msi|Windows Installer 
msm|MultiSIM Circuit Diagram
msn|MSN Content Plus 
mso|Math Script Object 
msp|Bitmap graphics (Microsoft Paint)
mspx|XML based Web Page
mss|Manuscript text (Perfect Writer - Scribble - MINCE - Jove)
mst|ChemFinder Chemical Structure Index 
msu|Windows Update 
msv|Sony Memory Stick Format
msw|Text (MS Word)
mswmm|Windows Movie Maker Project
msx|Compressed CP/M archive created by MSX
mtd|Digital Sheet Music
mth|Math (Derive)
mtm|Multitracker Module music
mts|AVCHD Video 
mtv|MTV Music Generator
mtw|Datafile (Minitab)
mtx|Temporary File often used by a browser or TWAIN device 
mu|Menu (Quattro Pro)
mu3|Myriad Music (packed sounds & digital tracks)
muf|ProtoMuck Multi User Forth Program
mul|Ultima Online Game
mus|MusicTime Sound 
mvb|Database 
mvc|Music Collector Collection Manager 
mvd|MicroDVD (DVD movie file)
mvf|Stop frame (AutoCAD AutoFlix)
mvi|Movie command (AutoCAD AutoFlix)
mvw|Log (Saber LAN)
mwf|Animation (ProMotion)
mwp|Lotus Wordpro 97 Smartmaster 
mws|Maple Worksheet File
mwv|MovieWorks 
mxd|GIS Project 
mxe|Macro Express 
mxf|Material eXchange Format for the interchange of audio-visual 
mxl|Moxcel Spreadsheet File
mxm|MS Project/Outlook Team Assign Task
mxp|Macromedia Extension Manager 
mxt|Data (MS C)
myp|Presentation (MM Make Your Point)
myr|Myriad Music 
mys|Myst Saved Game
myt|Myriad Tutorial 
mzp|Maxscript Compressed File 
na2|Netscape Mail 
nam|MS Office Name 
nap|Naplps (VideoShow) (EnerGraphics)
nav|MSN Application Extension
nb|Text (Nota Bene)
nbf|Backup Now Backup 
nbu|Nokia PC Suite Backup 
nc|Graphics (netcdf) 
ncb|MS Developer Studio 
ncc|Cnc (Computer Numeric Control) control (CamView 3D)
ncd|Nero CoverDesigner Document 
ncf|Lotus Notes Internal Clipboard 
nch|Outlook Express folder 
nd5|NDS Renamed 
ndb|Network database (Intellicom - Compex)
nde|Video format - various manufactures of surveillance camera systems
ndf|NeoPlanet Browser File
ndk|Lotus Notes(containing the files related to workspace)
ndx|Index (dBASE II - III - IV - dBFast)
neb|Nortec H.E.L.P.
ned|MSN Application Extension
nef|Nikon's RAW format for digital cameras (Nikon Electronic Format)
neo|Raster graphics (Atari Neochrome)
nes|Nintendo Entertainment System ROM Image
net|Network configuration/info 
new|New info
nfo|Info 
ng|Online documentation database (Norton Guide)
ngf|Enterasys Networks NetSight generated format 
ngg|Nokia Group Graphics
nh|NetHack 
nib|Adobe AIR 
nif|NetImmerse File Format
njb|Photo Index 
nlm|Netware Loadable Module
nls|Code Page National Language Support
nlx|Form (FormWorx 3.0)
nmd|SwordSearcher 
nmi|SwordSearcher 
nmo|Virtools Behavioral Objects
nms|Numega Softice's Loader 
nnb|newnovelist Story Outline
nob|VersaPro Word Exchange 
nol|Nokia Operator Logo
not|Acrobat Spelling 
now|Text 
np|Project schedule (Nokia Planner) (Visual Planner 3.x)
npa|ReliaSoft Weibull++ 6
npf|Backup Now Image 
npi|Source for DGEN.EXE intepreter (dBASE Application Generator)
nra|Nero Audio-CD Compilation
nrb|Nero CD-ROM Boot Compilation
nrg|Norton Registration Entries 
nri|Nero ISO CD-ROM compilation
nrl|iManage 
nrw|Nero WMA Compilation 
nsc|Noder (Polish) 
nsf|Lotus Notes / Domino database
nsi|Nullsoft Install System Script
nst|Music (NoiseTracker)
nt|Startup files (Windows NT)
ntf|Lotus Notes / Domino template 
nth|Nokia Theme 
ntp|Neato CD Labels
ntr|Executable ASCII text (strip header and rename) (netrun31.zip)
nts|Tutorial (Norton) 
ntx|Index (Clipper 5)
ntz|InVircible Directory Integrity Information
nu4|Norton Utilities Root File (DLL) Symantec Corporation
nuf|Message for new users on their 1st call (Procomm Plus)
numbers|iWork Numbers Spreadsheet 
nup|Program Component Update files
nvc|Nero Vision Project 
nvm|AOLpress Help 
nwc|Noteworthy Composer song 
nws|Info text (latest news) (ASCII)
nwr|New World Report Aegis/MSP Law Enforcement Records (New World Systems)
nwt|New World Text Aegis/MSP Law Enforcement Records (New World Systems)
nxt|Sound (NeXT format)
nzb|NewsBin Index 
o|Object (unix - Atari - GCC)
o$$|Outfile (Sprint)
oaz|Fax (NetFax Manager)
ob|Object cut/paste (IBM LinkWay)
obd|MS Office Binder
obj|Object code (Intel Recolatable Object Module)
obr|Object browser data (Borland C++)
obs|Script (ObjectScript)
obv|Visual interface (ObjectScript)
oca|Control Typelib Cache
ocf|Object Craft File (Object Craft)
ocm|AOL Advertising Control files 
ocp|Advanced Art Studio 
ocr|Incoming fax transcribed to text (FAXGrapper)
oct|Radiance Octree Format
ocx|OLE ActiveX custom control
odf|Open Document Interchange 
odg|OpenDocument Graphic 
odl|Type library source (Visual C++)
odp|OpenOffice Presentation 
ods|OpenOffice Spreadsheet 
odt|OpenOffice OpenDocument text document
oeb|Outlook Express Backup Wizard
oem|TextSetup OEM 
ofc|Open Financial Connectivity 
ofd|Form definition (ObjectView)
off|Object File Format vector graphics
ofm|Adobe font
oft|MS Outlook Item Template
ofx|Olicom Fax 
ogg|Ogg Vorbis Codec Compressed WAV 
ogm|Ogg Vorbis Compressed Video 
ogv|Video Container 
okt|Music (Oktalizer)
olb|Object library (VAX)
old|Backup 
ole|Object Linking and Embedding Object
oli|Text (Olivetti)
oma|OpenMG Music 
omf|Open Media 
omg|OpenMG Jukebox
oms|Briggs Softworks Order Maven 
ond|Lotus Notes-related 
one|OneNote Document File
ont|Bible 
oom|Swap (Shroom)
opd|Omnipage 
opf|Flip Album 
opl|Psion Organiser Programming Language Source 
opn|Active options (Exact)
ops|Microsoft Office profile settings 
opt|Optimize support (QEMM)
opw|Organization chart (Org Plus for Windows)
opx|Inactive options (Exact)
or2|Lotus Organizer 2 
or3|Lotus Organizer 97 
or4|Lotus Organizer 
or5|Lotus Organizer 
ora|Parameter (Oracle)
org|Calendar (Lotus Organizer)
osd|Open Software Description 
oss|MS Office Saved Search
ost|Microsoft Outlook Offline 
otf|Open Type Format
otl|Outline font description (Z-Soft Type Foundry)
otx|Text (Olivetti Olitext Plus)
out|Output 
ov1|Overlay (part of program to be loaded when needed)
ov2|Overlay (part of program to be loaded when needed)
ovd|Datafile (ObjectVision)
ovl|Overlay (part of program to be loaded when needed)
ovr|Overlay (part of program to be loaded when needed)
ovw|Cool Edit Pro Overviewfile 
ows|Web Studio 2 Project 
oxt|Open Office Extension 
p|Pascal source code 
p16|Music (16 channels) (ProTracker Studio 16)
p22|Patch (Patch22)
p65|Adobe Pagemaker v6.5
p7m|PKCS #7 MIME Message
pa|Print Artist
pa1|Worktable (PageAhead)
pab|Microsoft Outlook personal address book
pac|Stad Image (graphics ?) 
pack|Pack 2000 Compressed 
pad|Keypad definition (Telemate)
paf|PARIS audio format 
pages|Pages document
pak|Compressed archive created by PAK (pak251.exe)
pal|Adobe Pagemaker Library Palette 
pan|Printer-specific (copy to coreldrw.ink) (CorelDRAW)
par|Parts application (Digitalk PARTS) 
pas|Pascal source code 
pat|Hatch patterns (AutoCAD - Photostyler) 
pax|Pax Archive 
pb|Fax (FAXability Plus) 
pb1|Document (First Publisher for Windows)
pba|Powerbasic BASIC source code (Genus)
pbd|Phone book (FaxNOW! - Faxit)
pbf|Turtle Beach Pinnacle Bank 
pbi|Powerbasic include (Genus) 
pbk|Microsoft XP Remote Access Phonebook 
pbl|Powerbasic library (Genus)
pbm|Pbm Portable Bit Map graphics 
pbo|Profiler Binary Output (MS Source Profiler)
pbr|Microsoft Publisher backup 
pbt|Profiler Binary Table (MS Source Profiler)
pc|Text containing IBM PC specific info
pc3|Custom palette (Harvard Graphics 3.0)
pc8|Ascii text IBM8 character set (NewWave Write)
pca|Cash Register Express program
pcb|Broderbund Print Shop Business Card 
pcc|Cutout picture vector graphics (PC Paintbrush)
pcd|Graphics (Kodak PhotoCD) 
pcf|Profile Configuration 
pch|Patch 
pcj|Multimedia authoring tool graphics (IBM's Linkaway-Live)
pck|Received Package 
pcl|HP-PCL graphics data (HP Printer Control Language)
pcm|Plasmacam CAD/CAM system 
pcs|PICS Animation
pct|Bitmap Graphic 
pcw|Text (PC Write)
pcx|Bitmap graphics (PC Paintbrush)
pd|SynerGEE Stoner software files (compressible pipe flow program)
pda|Bitmap graphics
pdb|Data (TACT)
pdc|Personal Database Creator 
pdd|Adobe PhotoDeluxe Image
pde|Principalm Data Extract files 
pdf|Adobe Portable Document Format 
pdg|Printshop Deluxe files
pdl|Project Description Language (Borland C++ 4.5)
pdr|Port or printer driver
pds|Incredimail 
pdt|ProCite Primary Database 
pdv|Printer driver (Paintbrush)
pdw|Document (Professional Draw)
pdx|Adobe Acrobat Index 
pe4|Photo Explorer Thumbnail
pea|PeaZip Compressed FileArchived files
peb|Program Editor bottom overflow (WordPerfect Library)
ped|Program Editor delete save (WordPerfect Library)
pem|Program Editor macro (WordPerfect Library) 
peq|Program Editor print queue (WordPerfect Library)
per|Program Editor resident area (WordPerfect Library) (vakioalue)
pes|Program Editor work space (WordPerfect Library)
pet|Program Editor top overflow (WordPerfect Library)
pf|Windows Prefetch 
pfa|Type 3 font (unhinted PostScript font)
pfb|Type 1 PostScript font 
pfc|Text (First Choice)
pfg|jEEPers 
pfk|Programmable function keys (XTreePro)
pfl|Family Lawyer Data 
pfm|Windows Type 1 font metric 
pfs|Database (PFS:FILE) - text (PFS:Write)
pft|Printer font (ChiWriter)
pg|Pagefox File 
pgi|Printer Graphics File device driver (PGRAPH library)
pgm|Portable Grayscale bitMap graphics 
pgp|Support (Pretty Good Privacy RSA System)
pgs|Manual page (man4dos)
ph|Optimized .goh (Geoworks) 
phb|NewLeaf PhraseBook 
phn|Phone list (UltraFax - QmodemPro)
php|PHP Script 
pho|Phone database (Metz Phone for Windows)
phr|Phrases (LocoScript)
phtml|PHP Script
pic|Pixar picture (SDSC Image Tool) 
pif|Program Information File (Windows 3.x) 
pim|PIM Archive 
pip|Personalized menu and toolbar (MS Office)
pit|Compressed Mac archive created by PACKIT (unpackit.zoo)
pix|Alias image (SDSC Image Tool)
pj64|Project 64 game files.mswmm Windows Movie Maker Project 
pj|Project (CA-SuperProject)
pjt|Project memo (FoxPro)
pjx|Project (FoxPro)
pk|Packed bitmap font bitmap (TeX DVI drivers)
pk3|American McGee Alice Archive 
pka|Compressed archive created by PKARC
pkd|Top Secret Crypto Gold 
pkg|Installer script (Apple)
pkk|Private Key 
pkt|Packet Tracer Network Simulation 
pl|Perl source code 
pl1|Room plan (3D Home Architect)
pl3|Chart palette (Harvard Graphics 3.0)
plb|Library (FoxPro)
plc|Add-in (functions - macros - applications) (Lotus 1-2-3)
pll|Pre-linked library (Clipper 5)
pln|Spreadsheet (WordPerfect for Win)
plr|Descent Pilot 
pls|DisorderTracker2 Sample 
plt|AutoCAD HPGL Vector Graphic Plotter 
pmv|Pegasus Mail Filter Rule 
pmx|Pegasus Mail 
pn3|Printer device driver (Harvard Graphics 3.0)
pnf|Precompiled Setup Information (Temporary seen during installs)
png|Bitmap graphics (Portable Network Graphics)
pnm|Pbm Portable aNy Map (PNM) graphics
pnt|Macintosh painting 
pod|OPENPROJ Project 
poh|Optimized .goh (Geoworks)
poi|Point of interest 
pop|Messages index (PopMail) 
pos|ProCite Output Styles 
pot|PowerPoint template
potx|PowerPoint Open XML Template 
pov|Raytraced scene description (Persistence Of Vision)
pow|Chord chart (PowerChords)
pp|Free Pascal Source Code 
ppa|PowerPoint Add-in
ppb|Button bar for Print Preview (WordPerfect for Win)
ppd|PostScript Printer Description (Acrobat)
ppf|Turtle Beach Pinnacle Program 
ppg|MS PowerPoint Ppresentation 
ppl|Polaroidpaletteplus ColorKey device driver (Harvard Graphics 3.0)
ppm|Portable Pixel Map graphics
ppo|Pre-processor output (Clipper 5)
ppp|Publication (PagePlus) 
pps|PowerPoint Slideshow 
ppsx|MS Office PowerPoint Slide Show 
ppt|Microsoft PowerPoint
pptx|Microsoft PowerPoint XML
ppz|PowerPoint Packaged Presentation
pqa|Palm Query Application File (database for wireless access)
pqi|Power Quest Drive imaging
pr2|Presentation (Aldus Persuasion 2.x)
pr2|Printer driver (dBASE IV)
pr3|Postscript printer driver (dBASE IV) 
prc|Corel Presentation 
prd|Printer driver (many)
pre|Presentation (Freelance Graphics) 
prf|Pixel Run Format graphics (Improces - Fastgraph) 
prg|Program (Atari) 
pri|Printer definitions (LocoScript)
prj|Project
prm|Parameters 
prn|DataCAD Windows Printer 
pro|Prolog source code 
prs|Printer Resource eg. fonts (WordPerfect for Win) 
prt|CADKEY Part 
prx|Windows Media Settings 
prz|Freelance Graphics 97 
ps|PostScript (text/graphics) (ASCII)
ps2|PostScript Level 2 
psb|Pinnacle Sound Bank 
psd|Adobe Photoshop 
pse|Bitmap graphics (IBM printer Page SEgment)
psf|Photoshop Proof Settings 
psi|PSION A-law Audio 
psm|Music (MASI - ProTracker) 
psmdoc|PrintShop Mail
psp|PaintShop Pro Image 
psr|Project Scheduler Resource 
pst|MS Outlook personal folder
psw|WinXP Backup Password File
pt3|Device driver (Harvard Graphics 3.0) 
pt4|Template (PageMaker 4)
ptb|Script (PubTech BatchWorks)
ptm|Macro (PubTech BatchWorks) 
ptn|PaperPort Thumbnail Images
ptp|Act! Modem Sync 
ptr|Qwk reader pointer (QMail)
pts|Infinity Engine Game Tileset 
ptx|Real Legal E-Transcript
pub|Page template (MS Publisher) 
put|Compressed archive created by PUT (put334.zip)
puz|Across Lite Crossword Puzzle 
pva|Hauppauge DVB-Software
pvd|Script (Instalit)
pvm|Parallel Virtual Machine software library
pvl|Library (Instalit)
pvt|Local Fidonet pointlist
pw|Text (Professional Write)
pwd|Pocket Word document 
pwf|ProCite Workforms
pwi|Pocket Word document
pwl|Password List
pwm|WebMoney Purse 
pwp|Text document (Professional WritePlus)
pwz|MS Powerpoint Wizard
px|Primary database index (Paradox)
pxl|Pocket Excel Spreadsheet
pxv|Modelworks Project File used in JPad Pro and SitePad Pro
py|Python script 
pyc|Compiled PYTHON script 
pyd|Binary Python Extension on Windows
pyw|Python GUI Script on Windows
pz2|Curious Labs Poser Pose 
pz3|Curious Labs Poser Document
pza|MGI PhotoSuite II/III/4 Album 
pzd|Default settings (Pizazz Plus)
pzl|Jigs@w Puzzle 
pzo|Overlay (Pizazz Plus)
pzp|MGI PhotoSuite II/III/4 Project 
pzs|Settings (Pizazz Plus)
pzt|Transfer (Pizazz Plus)
pzx|Swap (Pizazz Plus) 
q05|Intuit Canada Quick tax tax return 
q9q|BladePro Graphic Plugin 
qad|QuickArt database
qag|Quick Access Group (Norton Desktop)
qap|Application (Omnis Quartz)
qbb|QuickBooks for Windows Backup 
qbe|Saved query (Query By Example) (dBASE IV - Quattro Pro)
qbk|Intuit Canada Quick tax backup copy of tax return 
qbl|Business Lawyer Document
qbo|Compiled query (dBASE IV)
qbr|QuickBooks Report
qbw|Spreadsheet (QuickBooks for Windows)
qcn|Qualcomm Phonebook 
qcow|QEMU Copy on Write disk image (linux vm)
qcow2|QEMU Copy on Write disk image (linux vm)
qcp|Qualcomm PureVoice File 
qd0|Data - segment 10 (Omnis Quartz)
qd1|Data - segment 1 (Omnis Quartz)
qd2|Data - segment 2 (Omnis Quartz)
qd3|Data - segment 3 (Omnis Quartz)
qd4|Data - segment 4 (Omnis Quartz)
qd5|Data - segment 5 (Omnis Quartz)
qd6|Data - segment 6 (Omnis Quartz)
qd7|Data - segment 7 (Omnis Quartz)
qd8|Data - segment 8 (Omnis Quartz)
qd9|Data - segment 9 (Omnis Quartz)
qdat|Quicktime Installer Cache
qdb|Quicken data 
qdf|Quicken for Windows data 
qdt|Quark Xpress Dictionary 
qdv|Graphics (Steve Blackstock Giffer)
qe4|Kingpin Project 
qef|Query (Q+E for MS Excel)
qel|Quicken Electronic Library 
qfl|Quicken Family Lawyer 
qfx|Quicken Financial Exchange 
qhf|QIP PDA History 
qic|Backup set for Microsoft Backup
qif|Quicken Interchange Format 
qix|NovaStar Backup 
qlb|Quick library (MS C/C++)
qlc|Data (PostScript help file) atmfonts.qlc
qlf|Family Tree Maker Genealogy 
qlp|Printer driver (QuickLink)
qm4|Options or services (QMail 4.x Mail Door)
qm|Virtual Box Language 
qml|Quick Markup Language 
qph|Intuit Quicken Price History 
qpr|Generated query program (FoxPro) 
qpw|Quattro Pro Project 
qpx|Compiled query program (FoxPro)
qrp|QuickReport Report files 
qrs|Equation Editor support (WordPerfect for Win)
qrt|Qrt ray tracing graphics
qru|SQL Query 
qry|Query (dBASE IV)
qsd|Quicken for Windows data 
qsi|Quintessential Stereotaxic Injector Commander log files
qst|Quake Spy Tab 
qt|Quicktime movie (animation)
qtc|Incite Media Assistant 
qtk|Apple QuickTake format for Windows
qtl|Quick Time Media Link 
qtp|QuickTime Preferences 
qts|Macintosh PICT image 
qtx|QuickTime image
que|CuteFTP Queue 
qvm|Quake 
qvs|Casio Digital Camera 
qw|Symantec Q&A Write 
qwk|QWK reader message 
qxd|QuarkXPress document format
qxl|Element library (QuarkXPress)
qxp|QuarkXPress project 
qxt|Template (QuarkXpress) 
r|Ratfor (FORTRAN preprosessor) 
r33|Train Simulator Game 
r8|Raw graphics (one byte per pixel) plane one (PicLab)
r8p|Pcl 4 bitmap font (Intellifont)
ra|Music (RealAudio)
ram|Ramfile (RealAudio)
rar|Compressed archive created by RAR (rar1_402.exe)
ras|Sun Rasterfile graphics
rat|Datafile (RATS)
raw|Raw RGB 24-bit graphics
rb|Ruby on Rails class 
rbf|Windows Installer Rollback 
rbn|Richard's Bridge Notation 
rbs|Windows Installer Rollback Script 
rbx|Format for playing RapidPlayer v3.0 ActiveX Control in Explorer
rc|Resource script (Visual C/C++ - Borland C++) 
rcf|Rhapsody Storage 
rcg|Netscape newsgroup (netsc.rcg)
rcp|Recomposer's MIDI Sequencer Music 
rcx|Lego Mindstorms Robotics Invention System
rdb|TrueVector Rules database 
rdf|Compiled UIC source code (Geoworks UI Compiler)
rdi|Device-independent bitmap (RIFF RDIB format)
rds|Ray Dream Studio 
rdx|Datafile (Reflex)
rec|Datafile (EpiInfo) 
red|Path info (Clarion Modula-2)
ref|Cross-reference
reg|OLE Registration (Windows 3.x) 
rels|Microsoft Office 2007 Relationships
rem|Encrypted Data 
rep|QWK reader reply 
req|Request
res|Compiled resource (MS C/C++ - Borland C++) 
rev|Revision (Geoworks)
rex|Rexx source code 
rex|Report definition (Oracle)
rez|Resource 
rf|Sun raster graphics
rfl|Roll Forward Log 
rft|Dca/RFT Revisable Format Text (IBM DisplayWrite 4.0-5.1)
rgb|Sgi RGB image (SDSC Image Tool)
rgi|RealArcade Game Installer
rgp|RealArcade Game Package
rgs|RealArcade Game Installer
rgx|Symbol tables etc. info (ReaGeniX code generator)
rh|Resource header (Borland C++ 4.5)
rhp|Rhapsody Notation Program File Format
ri|Data (Lotus 1-2-3)
rib|Graphics in Renderman format (3DReality)
ric|Fax (Ricoh)
rif|Riff bitmap graphics (Fractal Design Painter)
rip|Graphics (Remote Access)
rix|Bitmap graphics (ColorRIX VGA Paint)
rl4|Bitmap graphics
rl8|Bitmap graphics
rla|Wavefront raster image (SDSC Image Tool)
rlb|Data (Harvard Graphics Win) hgw.rlb
rlc|Graphics 1bit/pixel scanner output
rle|Utah Run Length Encoded raster graphic (SDSC Image Tool)
rlz|Realizer source code (CA-Realizer)
rm|RealMedia 
rmf|Rich Map Format 
rmi|Midi (RIFF RMID format)
rmj|Real Jukebox 
rmk|Makefile (Clipper RMake)
rmm|RealPlayer 
rmr|Resume Maker 
rms|Secure Real Media 
rmvb|Video for Realplayer
rm|RealMedia
rmvb|Real Media video 
rmx|RealJukeBox MP3 
rn|Xpl program for Nota Bene users
rnd|Rendering Slide (AutoCAD AutoShade)
roi|Actuate ReportBlast 
rno|Runoff (VAX)
rol|Fm music Adlib Music File (Roland)
rpd|Database (RapidFile) 
rpl|Text document (Replica)
rpm|RedHat Package Manager 
rps|Propellerhead Software Reason Song
rpt|Report
rrd|ERDAS Imagine 
rs|Data (Amiga Resource - Reassembler)
rs_|Resource fork of a Macintosh (Mac-ette)
rsb|Red Storm Image Format
rsc|Resource 
rsm|ReliaSoft MPC 3 
rsp|Response 
rss|Rockwell Logix PLC 
rst|ANSYS Results 
rsw|ReliaSoft BlockSim
rtc|Live Meeting Connection 
rtf|Rich Text Format text (many - Windows Word) 
rtl|Run Time Library (NU 7.0) 
rtp|Turbo Tax Update 
rts|Runtime library (CA-Realizer)
rtx|Reliacast Audience Manager Turnstile 
ru|JavaSoft Library 
rul|InstallShield
run|RunScanner Saved 
rv|RealVideo Video 
rvb|Rhinoscript 
rvp|MS Scan Configuration 
rvw|Review
rwg|Random Word Generator List 
rws|Resource Workshop data (Borland C++)
rwx|Script (RenderWare)
rwz|MS Outlook Rules Wizard 
rzk|Red Zion File Crypt (password file)
rzr|in-sync Speed Razor Project 
rzx|in-sync Speed Razor Project 
s|Assembly source code (Unix) 
s$$|Temporary sort (Sprint)
s3m|Music (16 channels) (Scream Tracker 3.0)
sac|Shared Asset Catalog (Adobe)
saf|MusicMatch Jukebox Secure Audio 
sah|SETI@Home data 
sal|Datafile (SORITEC)
sam|Text (Samna - Lotus Ami/Ami Pro)
sar|Compressed archive created by SAR (sar1.zip)
sas|SAS System program
sas7bcat|SAS System catalog
sas7bdat|SAS System data set
sas7bndx|SAS System index
sas7bpgm|SAS System Stored Program
sas7bvew|SAS Data Set View
sas7mdb|SAS System multidimensional database
sat|Standard ACIS Text 
sav|Backup (saved file) 
sb|Audio (signed byte)
sbc|Sagebrush Corporation Spectrum CIRC/CAT Report
sbd|Storyboard (Storyboard Editor)
sbi|Sound Blaster Instrument (Creative Labs)
sbj|Micrografx Clipart or Palette 
sbn|ArcView (GIS)
sbp|Dml program (Superbase 4)
sbr|Support (Source Browser)
sbs|SWAT HRU Output 
sbt|Notes related to record (Suberbase 4 Windows)
sbx|ArcView (GIS)
sc|Pal script (Paradox) 
sc3|Renamed dBASE III screen mask (dBASE IV) 
sca|Datafile (SCA)
scc|Text 
scd|Scodl Scan Conversion Object Description Language graphics
scf|Multimedia show (ScoreMaker) 
sch|Project schedule (Schedule Publisher) 
sci|System Configuration Information 
scm|Scheme source code 
scn|Screen (Kermit) 
sco|High score
scp|Script (BITCOM)
scr|Debug source code (DOS Debug) 
sct|Screen memo (FoxPro) 
scx|Bitmap graphics (ColorRIX) 
scy|Security (ReaGeniX)
sda|Fidonet's Software Distribution Network archive description
sdc|StarOffice Spreadsheet
sdd|StarOffice Presentation
sdf|System Data Format (fixed lenght ASCII text)
sdi|Software Distribution Network Info 
sdn|Software Distribution Network compressd archive (pak251.exe)
sdr|SmartDraw 
sds|Chart Application Document 
sdt|SmartDraw Template 
sdu|Edwards Systems Technology 
sdw|StarOffice Text 
sea|Self-Extracting compressed Macintosh Archive
sec|CyberPaint animation (sequence) 
sed|Self Extraction Directive 
sep|Printer separator page
seq|Atari animation 
ses|Session info (Clarion Modula-2)
set|Configuration (1st Reader) 
sf|Ircam Sound File (CSound package - MixView sound sample editor) 
sf2|Creative Labs Soundfont 
sfb|HP Soft Font 
sfc|System File Checker 
sff|Fritz Fax-Print 
sfi|Graphics (SIS Framegrabber) 
sfl|Pcl 4 bitmap font (landscape) (Intellifont) (Ventura Publisher)
sfn|Font (SPX)
sfo|CuteFTP Search 
sfp|Pcl 4 bitmap font (portrait) (Intellifont) (Ventura Publisher)
sfs|Pcl 5 scalable font (Intellifont)
sft|Screen font (ChiWriter)
sfv|QuickSFV/WinSFV Checksum 
sfw|Seattle Film Works 
sfx|Self Extracting Archive 
sg1|Graphics (Stanford Graphics)
sgf|Document with graphics (Starwriter) 
sgi|Graphics (IRIS - Silicon Graphics)
sgm|Standard Generalized Markup Language 
sgn|Sierra Print Artist Sign
sgp|Statistics (STATGRAPHICS Plus)
sgt|Save/get keyboard macro (Signature)
sh|Unix shell script 
sh3|Presentation (Harvard Graphics 3.0)
sha|Shell Archive 
shb|Background (CorelShow)
shd|Microsoft Windows Shadow 
shg|Segmented-graphics bitmap
shk|Compressed Apple II archive created by SHRINKIT
shm|Shell macro (WordPerfect Library)
shn|Shorten audio compression 
shp|Shape and source for text fonts (AutoCAD)
shr|Unix ASCII archive created by SHAR (unshar.zip)
shs|Microsoft Word or Excel scrap which is created when you drag and drop selected text
shtml|HTML File with Server Side
shw|Presentation (Harvard Graphics 2.0 - CorelShow) 
shx|Shape entities (AutoCAD)
sid|Commodore64 Music 
sif|Setup Installation Files info (Windows NT Setup)
sig|Current program settings (Signature) 
sik|Backup (Sicherungskopie) (MS Word)
sim|Aurora 
sis|SymbianOS Installer 
sit|Compressed Macintosh archive created by STUFFIT (unsit30.zip)
sitx|Stuffit SITX Compressed File
skb|SketchUp software (3D Design Tool)
skf|Autosketch 
skin|Skin 
skm|Google Sketchup Texture 
skn|Interface skins images (FileWrangler SecurDesk! SecurDesk! LV ZipWrangler) 
skp|Sketchup software component (3D Design Tool)
sl|S-Lang source code 
slb|Slide library (AutoCAD)
slc|Compiled SALT script (Telix)
sld|Slide (AutoCAD)
slf|BitDefender 
sli|Slide (MAGICorp Slide Service)
slk|Sylk Symbolic Link format data (MultiPlan)
sll|Sound data 
sln|Microsoft Visual Studio Solution 
slt|Salt Script Application Language for Telix script source (Telix)
sm|Smalltalk source code 
smc|Super Nintendo Game-console ROM Image
smd|StarOffice Mail
smf|Fax (SMARTFAX)
smi|RealPlay SMIL 
smil|Synchronized Multimedia Integration Language 
smk|Compressed File (Smacker)
smm|Macro (Ami Pro)
smp|Sample (sound file)
sms|Microsoft Package Definition 
smt|Text (Smart Ware II)
smtmp|SMTMP Virus
snd|Digitized sound (Macintosh/ATARI/PC)
sng|Song (midi sound) (Midisoft Studio - Prism)
snm|Netscape mail
sno|Snobol4 source code 
snp|CoffeeCup HTML Editor Snippet 
snx|Mirage Microdrive Snapshot Extended Version 
so|Apache Module 
sol|Flash shared object 
som|Network serial numbers (Quattro Pro) 
son|Song (SBStudio II)
sou|Sound data (sound tool)
sp|Compressed archive created by SPLINT (unix)
spa|Macromedia FutureSplash 
spc|Program (MS Multiplan) 
spd|Scalable font (Speedo) (Harvard Graphics 3.0)
spf|Slide presentation (EnerGraphics)
spg|Glossary (Sprint)
spi|Graphics (Siemens and Philips scanner)
spi|InConSoft Ltd. Sim-Path system files
spl|Compressed archive created by SPLINT (splint.arc) 
spm|Data (WordPerfect) wp{wp}.spm
spo|Statistical Program (SPSS)
spp|Printer (Sprint)
spr|Document letter (Sprint) 
sps|Spssx source code (VAX/VMS) 
spt|Spitbol source code 
spv|InConSoft Ltd Sim-Path vehicle 
spw|Worksheet (SigmaPlot)
spx|Compiled screen program (FoxPro)
